row_id,Library ID,Platform,Brand,CountryID,Status,Date Range,Caption,CTA Caption,CTA Button,Platforms,Ad Link,Overall Reach,Gender,Age Range,Segments,Ad Type,image_names,video_names
766498012577819_0,7.66498E+14,Meta,BMWMotorrad,DE,Active,Started running on 22 Jul 2025,Liebe auf den ersten Blick?Bei der #S1000RR schauen wir auch gern mehrmals hin. 😉 🚀📸: @rr_bln#MakeLifeARide #NeverStopChallenging #BMWMotorrad,"WWW.BMW-MOTORRAD.COM, BMW Motorrad Deutschland",Learn more,['Instagram'],https://www.facebook.com/ads/library/?id=766498012577819,13375,All,18-65+ years old,"[{""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Unknown"", ""reach"": ""15""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Male"", ""reach"": ""4532""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Female"", ""reach"": ""224""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Unknown"", ""reach"": ""5""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Male"", ""reach"": ""2117""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Female"", ""reach"": ""228""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Unknown"", ""reach"": ""6""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Male"", ""reach"": ""1341""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Female"", ""reach"": ""167""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Unknown"", ""reach"": ""6""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Male"", ""reach"": ""509""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Female"", ""reach"": ""55""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Unknown"", ""reach"": ""4""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Male"", ""reach"": ""1256""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Female"", ""reach"": ""236""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Unknown"", ""reach"": ""12""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Male"", ""reach"": ""2690""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Female"", ""reach"": ""125""}]",single,[],"[""250725_BMWMOTORRAD_DE_META_766498012577819_0.mp4"", ""250725_BMWMOTORRAD_DE_META_766498012577819_1.mp4""]"
1413554746592217_0,1.41355E+15,Meta,BMWMotorrad,DE,Active,Started running on 22 Jul 2025,"Einfach zu parken, schwer zu toppen. 🔥#MakeLifeARide #S1000R #NeverStopChallenging #BMWMotorrad","BMW-MOTORRAD.COM, BMW-MOTORRAD.COM, BMW-MOTORRAD.COM",Learn More,['Instagram'],https://www.facebook.com/ads/library/?id=1413554746592217,53673,All,18-65+ years old,"[{""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Unknown"", ""reach"": ""49""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Male"", ""reach"": ""15076""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Female"", ""reach"": ""1933""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Unknown"", ""reach"": ""22""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Male"", ""reach"": ""6777""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Female"", ""reach"": ""1207""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Unknown"", ""reach"": ""23""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Male"", ""reach"": ""3793""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Female"", ""reach"": ""1081""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Unknown"", ""reach"": ""14""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Male"", ""reach"": ""1598""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Female"", ""reach"": ""475""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Unknown"", ""reach"": ""19""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Male"", ""reach"": ""4711""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Female"", ""reach"": ""1422""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Unknown"", ""reach"": ""89""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Male"", ""reach"": ""13192""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Female"", ""reach"": ""2303""}]",single,"[""250725_BMWMOTORRAD_DE_META_1413554746592217_0.jpg"", ""250725_BMWMOTORRAD_DE_META_1413554746592217_1.jpg"", ""250725_BMWMOTORRAD_DE_META_1413554746592217_2.jpg"", ""250725_BMWMOTORRAD_DE_META_1413554746592217_3.jpg"", ""250725_BMWMOTORRAD_DE_META_1413554746592217_4.jpg"", ""250725_BMWMOTORRAD_DE_META_1413554746592217_5.jpg""]","[""no_videos_found""]"
1963341417734664_0,1.96334E+15,Meta,BMWMotorrad,DE,Active,Started running on 22 Jul 2025,Wahrheit oder Pflicht?Pflicht! ➡️ Fahr ein BMW Motorrad! 🚀➡️ https://www.bmw-motorrad.com/en/shorturls/s1000rr.html?context=smfbxq&tl=soc-fiac-defb-pro-miy-.-.-nsoocabc-.-.-2c963c811452#MakeLifeARide #S1000R #NeverStopChallenging #BMWMotorrad,,,['Facebook'],https://www.facebook.com/ads/library/?id=1963341417734664,33100,All,18-65+ years old,"[{""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Unknown"", ""reach"": ""12""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Male"", ""reach"": ""5835""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Female"", ""reach"": ""120""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Unknown"", ""reach"": ""21""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Male"", ""reach"": ""8901""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Female"", ""reach"": ""219""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Unknown"", ""reach"": ""31""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Male"", ""reach"": ""6940""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Female"", ""reach"": ""450""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Unknown"", ""reach"": ""13""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Male"", ""reach"": ""2296""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Female"", ""reach"": ""313""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Unknown"", ""reach"": ""32""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Male"", ""reach"": ""7863""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Female"", ""reach"": ""281""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Unknown"", ""reach"": ""1""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Male"", ""reach"": ""455""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Female"", ""reach"": ""10""}]",single,"[""250725_BMWMOTORRAD_DE_META_1963341417734664_0.jpg"", ""250725_BMWMOTORRAD_DE_META_1963341417734664_1.jpg"", ""250725_BMWMOTORRAD_DE_META_1963341417734664_2.jpg"", ""250725_BMWMOTORRAD_DE_META_1963341417734664_3.jpg"", ""250725_BMWMOTORRAD_DE_META_1963341417734664_4.jpg"", ""250725_BMWMOTORRAD_DE_META_1963341417734664_5.jpg"", ""250725_BMWMOTORRAD_DE_META_1963341417734664_6.jpg"", ""250725_BMWMOTORRAD_DE_META_1963341417734664_7.jpg""]","[""no_videos_found""]"
718349547759614_0,7.1835E+14,Meta,BMWMotorrad,DE,Active,Started running on 21 Jul 2025,"Die neue BMW R 1300 R: Das Motorrad, das pure Emotionen weckt 🏍️✔️ Kraftvoller Boxerpunch für dynamische Fahrten✔️ Modernste Technik für höchste Präzision✔️ Roadster-Design, das Blicke auf sich zieht#MakeLifeARide #R1300R #NeverStopChallenging #BMWMotorrad","Pure Fahrfreude. Pure Power, Make Life a Ride",Learn More,['Facebook'],https://www.facebook.com/ads/library/?id=718349547759614,5473,All,18-65+ years old,"[{""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Unknown"", ""reach"": ""92""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Male"", ""reach"": ""1048""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Female"", ""reach"": ""91""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Unknown"", ""reach"": ""62""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Male"", ""reach"": ""975""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Female"", ""reach"": ""56""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Unknown"", ""reach"": ""51""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Male"", ""reach"": ""1140""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Female"", ""reach"": ""75""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Unknown"", ""reach"": ""15""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Male"", ""reach"": ""374""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Female"", ""reach"": ""30""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Unknown"", ""reach"": ""75""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Male"", ""reach"": ""917""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Female"", ""reach"": ""87""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Unknown"", ""reach"": ""64""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Male"", ""reach"": ""323""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Female"", ""reach"": ""31""}]",single,"[""250725_BMWMOTORRAD_DE_META_718349547759614_0.jpg"", ""250725_BMWMOTORRAD_DE_META_718349547759614_1.jpg"", ""250725_BMWMOTORRAD_DE_META_718349547759614_2.jpg"", ""250725_BMWMOTORRAD_DE_META_718349547759614_3.jpg""]","[""no_videos_found""]"
614803191243407_0,6.14803E+14,Meta,BMWMotorrad,DE,Active,Started running on 21 Jul 2025,"Die neue BMW R 1300 R: Das Motorrad, das pure Emotionen weckt 🏍️✔️ Kraftvoller Boxerpunch für dynamische Fahrten✔️ Modernste Technik für höchste Präzision✔️ Roadster-Design, das Blicke auf sich zieht#MakeLifeARide #R1300R #NeverStopChallenging #BMWMotorrad","Pure Fahrfreude. Pure Power, Make Life a Ride",Learn More,['Facebook'],https://www.facebook.com/ads/library/?id=614803191243407,19830,All,18-65+ years old,"[{""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Unknown"", ""reach"": ""5""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Male"", ""reach"": ""2198""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Female"", ""reach"": ""114""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Unknown"", ""reach"": ""9""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Male"", ""reach"": ""2707""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Female"", ""reach"": ""150""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Unknown"", ""reach"": ""32""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Male"", ""reach"": ""6874""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Female"", ""reach"": ""203""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Unknown"", ""reach"": ""15""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Male"", ""reach"": ""2307""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Female"", ""reach"": ""49""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Unknown"", ""reach"": ""23""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Male"", ""reach"": ""4130""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Female"", ""reach"": ""230""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Unknown"", ""reach"": ""1""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Male"", ""reach"": ""599""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Female"", ""reach"": ""35""}]",single,"[""250725_BMWMOTORRAD_DE_META_614803191243407_0.jpg"", ""250725_BMWMOTORRAD_DE_META_614803191243407_1.jpg"", ""250725_BMWMOTORRAD_DE_META_614803191243407_2.jpg"", ""250725_BMWMOTORRAD_DE_META_614803191243407_3.jpg""]","[""no_videos_found""]"
2155113401602860_0,2.15511E+15,Meta,BMWMotorrad,DE,Active,Started running on 21 Jul 2025,Worauf wartest Du? Vereinbare jetzt Deine Probefahrt mit der BMW R 1300 GS und erlebe ein noch nie da gewesenes Fahrgefühl.#MakeLifeARide #R1300GS#SpiritOfGS #BMWMotorrad,"DIE BMW R 1300 GS, Make Life a Ride",Watch More,"['Facebook', 'Messenger']",https://www.facebook.com/ads/library/?id=2155113401602860,19884,All,25-65+ years old,"[{""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Unknown"", ""reach"": ""41""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Male"", ""reach"": ""1044""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Female"", ""reach"": ""82""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Unknown"", ""reach"": ""112""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Male"", ""reach"": ""2621""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Female"", ""reach"": ""225""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Unknown"", ""reach"": ""88""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Male"", ""reach"": ""2559""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Female"", ""reach"": ""299""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Unknown"", ""reach"": ""81""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Male"", ""reach"": ""3890""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Female"", ""reach"": ""369""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Unknown"", ""reach"": ""127""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Male"", ""reach"": ""7858""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Female"", ""reach"": ""548""}]",single,"[""250725_BMWMOTORRAD_DE_META_2155113401602860_0.jpg"", ""250725_BMWMOTORRAD_DE_META_2155113401602860_1.jpg"", ""250725_BMWMOTORRAD_DE_META_2155113401602860_2.jpg"", ""250725_BMWMOTORRAD_DE_META_2155113401602860_3.jpg"", ""250725_BMWMOTORRAD_DE_META_2155113401602860_4.jpg""]","[""no_videos_found""]"
1151772940121479_0,1.15177E+15,Meta,BMWMotorrad,DE,Active,Started running on 21 Jul 2025,"Die neue BMW R 1300 RS – gemacht für Fahrer, die keine Kompromisse eingehen 🏍️✔️ Langstreckenperformer für adrenalingeladene Sprints zwischendurch✔️ Leichtbau für maximale Agilität✔️ Komfort für lange Touren#MakeLifeARide #R1300RS #NeverStopChallenging #BMWMotorrad","Dein nächstes Abenteuer wartet, Make Life a Ride",Learn More,['Facebook'],https://www.facebook.com/ads/library/?id=1151772940121479,28263,All,18-65+ years old,"[{""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Unknown"", ""reach"": ""218""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Male"", ""reach"": ""3757""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Female"", ""reach"": ""275""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Unknown"", ""reach"": ""213""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Male"", ""reach"": ""5117""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Female"", ""reach"": ""439""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Unknown"", ""reach"": ""312""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Male"", ""reach"": ""7158""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Female"", ""reach"": ""557""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Unknown"", ""reach"": ""99""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Male"", ""reach"": ""2187""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Female"", ""reach"": ""239""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Unknown"", ""reach"": ""280""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Male"", ""reach"": ""5798""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Female"", ""reach"": ""504""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Unknown"", ""reach"": ""74""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Male"", ""reach"": ""513""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Female"", ""reach"": ""59""}]",single,"[""250725_BMWMOTORRAD_DE_META_1151772940121479_0.jpg"", ""250725_BMWMOTORRAD_DE_META_1151772940121479_1.jpg"", ""250725_BMWMOTORRAD_DE_META_1151772940121479_2.jpg"", ""250725_BMWMOTORRAD_DE_META_1151772940121479_3.jpg""]","[""no_videos_found""]"
1239833641155401_0,1.23983E+15,Meta,BMWMotorrad,DE,Active,Started running on 21 Jul 2025,"Die neue BMW R 1300 RS – gemacht für Fahrer, die keine Kompromisse eingehen 🏍️✔️ Langstreckenperformer für adrenalingeladene Sprints zwischendurch✔️ Leichtbau für maximale Agilität✔️ Komfort für lange Touren#MakeLifeARide #R1300RS #NeverStopChallenging #BMWMotorrad","Dein nächstes Abenteuer wartet, Make Life a Ride",Learn More,['Facebook'],https://www.facebook.com/ads/library/?id=1239833641155401,21802,All,18-65+ years old,"[{""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Unknown"", ""reach"": ""191""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Male"", ""reach"": ""2416""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Female"", ""reach"": ""165""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Unknown"", ""reach"": ""183""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Male"", ""reach"": ""3368""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Female"", ""reach"": ""204""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Unknown"", ""reach"": ""213""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Male"", ""reach"": ""6669""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Female"", ""reach"": ""305""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Unknown"", ""reach"": ""64""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Male"", ""reach"": ""2322""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Female"", ""reach"": ""90""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Unknown"", ""reach"": ""228""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Male"", ""reach"": ""4323""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Female"", ""reach"": ""298""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Unknown"", ""reach"": ""93""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Male"", ""reach"": ""557""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Female"", ""reach"": ""36""}]",single,"[""250725_BMWMOTORRAD_DE_META_1239833641155401_0.jpg"", ""250725_BMWMOTORRAD_DE_META_1239833641155401_1.jpg"", ""250725_BMWMOTORRAD_DE_META_1239833641155401_2.jpg"", ""250725_BMWMOTORRAD_DE_META_1239833641155401_3.jpg""]","[""no_videos_found""]"
1265176515234196_0,1.26518E+15,Meta,BMWMotorrad,DE,Active,Started running on 18 Jul 2025,Die BMW R 1300 GS – Jetzt DeineProbefahrt vereinbaren!#MakeLifeARide #R1300GS#SpiritOfGS #BMWMotorrad,"Die BMW R 1300 GS, Make Life a Ride",Watch More,"['Facebook', 'Messenger']",https://www.facebook.com/ads/library/?id=1265176515234196,14013,All,25-65+ years old,"[{""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Unknown"", ""reach"": ""34""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Male"", ""reach"": ""689""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Female"", ""reach"": ""51""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Unknown"", ""reach"": ""109""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Male"", ""reach"": ""2347""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Female"", ""reach"": ""175""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Unknown"", ""reach"": ""82""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Male"", ""reach"": ""2245""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Female"", ""reach"": ""219""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Unknown"", ""reach"": ""55""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Male"", ""reach"": ""2976""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Female"", ""reach"": ""206""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Unknown"", ""reach"": ""43""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Male"", ""reach"": ""4837""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Female"", ""reach"": ""269""}]",single,"[""250725_BMWMOTORRAD_DE_META_1265176515234196_0.jpg"", ""250725_BMWMOTORRAD_DE_META_1265176515234196_1.jpg"", ""250725_BMWMOTORRAD_DE_META_1265176515234196_2.jpg"", ""250725_BMWMOTORRAD_DE_META_1265176515234196_3.jpg""]","[""no_videos_found""]"
2236700543456950_0,2.2367E+15,Meta,BMWMotorrad,DE,Inactive,17 Jul 2025 - 21 Jul 2025,Die BMW R 1300 GS – Jetzt entdecken!#MakeLifeARide #R1300GS #SpiritOfGS#BMWMotorrad,"Die BMW R 1300 GS, Make Life a Ride",Watch More,"['Facebook', 'Messenger']",https://www.facebook.com/ads/library/?id=2236700543456950,9151,All,18-65+ years old,"[{""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Unknown"", ""reach"": ""35""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Male"", ""reach"": ""1098""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Female"", ""reach"": ""114""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Unknown"", ""reach"": ""55""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Male"", ""reach"": ""1211""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Female"", ""reach"": ""162""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Unknown"", ""reach"": ""97""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Male"", ""reach"": ""2841""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Female"", ""reach"": ""218""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Unknown"", ""reach"": ""39""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Male"", ""reach"": ""923""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Female"", ""reach"": ""51""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Unknown"", ""reach"": ""72""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Male"", ""reach"": ""1875""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Female"", ""reach"": ""272""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Unknown"", ""reach"": ""18""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Male"", ""reach"": ""283""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Female"", ""reach"": ""37""}]",single,"[""250725_BMWMOTORRAD_DE_META_2236700543456950_0.jpg"", ""250725_BMWMOTORRAD_DE_META_2236700543456950_1.jpg"", ""250725_BMWMOTORRAD_DE_META_2236700543456950_2.jpg"", ""250725_BMWMOTORRAD_DE_META_2236700543456950_3.jpg"", ""250725_BMWMOTORRAD_DE_META_2236700543456950_4.jpg""]","[""no_videos_found""]"
